Name,Critic_Score,Critic_Count,User_Score,User_Count,Global_Sales
Kingdom Hearts II,87,64,9,766,4.33
Super Mario 3D World,93,83,9,1607,4.32
Fable II,89,95,6.5,2423,4.27
Namco Museum,79,10,7.3,6,4.24
Batman: Arkham Asylum,91,70,8.9,1122,4.23
Metal Gear Solid 3: Snake Eater,91,68,9.3,955,4.23
Assassin's Creed: Revelations,80,39,7.5,613,4.22
Fallout 4,88,39,6.2,1749,4.22
FIFA 14,84,41,4.2,435,4.22
Daxter,85,59,8.7,109,4.21
FIFA Soccer 06,80,32,7.8,47,4.21
EyeToy Play,80,32,7.5,22,4.2
Gran Turismo 5 Prologue,80,67,7.1,120,4.19
Assassin's Creed: Revelations,80,77,7.2,564,4.19
Street Fighter IV,94,61,7.3,330,4.16
Madden NFL 2003,95,25,7.7,65,4.14
Half-Life,96,24,9.1,3161,4.12
World of Warcraft: The Burning Crusade,91,46,7.9,785,4.09
Battlefield 1,88,31,8.4,809,4.08
God of War II,93,70,8.9,709,4.07
Fallout: New Vegas,84,81,8.1,769,4.05
Forza Motorsport 2,90,66,8.3,381,4.05
Carnival Games,56,27,6,44,4.05
Watch Dogs,80,80,6.3,2996,4.05
Tekken Tag Tournament,85,25,8.5,117,4.05
Far Cry 4,85,83,7.7,1653,4.04
Left 4 Dead 2,89,76,8.6,681,3.97
The Witcher 3: Wild Hunt,92,79,9.2,10179,3.97
Assassin's Creed: Unity,70,40,4.9,2050,3.96
Batman: Arkham Knight,87,89,7.6,2679,3.95
The Legend of Zelda: Skyward Sword,93,81,8,1958,3.95
Fallout 3,90,57,8,910,3.94
Professor Layton and the Diabolical Box,84,65,8.8,72,3.94
EA Sports Active,81,27,8.7,39,3.9
Tony Hawk's Underground,90,38,8.7,121,3.9
Monster Hunter 4 Ultimate,86,80,8.7,348,3.89
The Elder Scrolls V: Skyrim,94,32,8.1,9073,3.88
NBA 2K16,87,51,6.7,364,3.88
Tekken 5,88,62,8.6,229,3.87
MotorStorm,84,9,7.4,220,3.87
World Soccer Winning Eleven 8 International,91,26,9.1,38,3.85
Sports Champions,76,64,7.9,104,3.84
Call of Duty: Ghosts,78,49,3.7,1564,3.83
Flash Focus: Vision Training in Minutes a Day,59,22,4,4,3.83
Tom Clancy's The Division,80,64,7,2219,3.8
Big Brain Academy: Wii Degree,68,33,6.9,39,3.79
LEGO Indiana Jones: The Original Adventures,77,60,7.5,66,3.76
The Sims: Unleashed,79,21,8,29,3.76
Harry Potter and the Sorcerer's Stone,64,11,7.5,41,3.73
Super Paper Mario,85,56,7.9,417,3.71
Spyro: Year of the Dragon,91,15,8.8,207,3.71
Assassin's Creed IV: Black Flag,88,36,8.1,840,3.71
FIFA Soccer 2005,81,27,7.6,56,3.7
Tony Hawk's Pro Skater 4,94,27,8.5,128,3.67
MySims,67,15,7.3,13,3.66
Midnight Club 3: DUB Edition,74,34,8.4,31,3.65
SOCOM: U.S. Navy SEALs,82,42,7.9,82,3.65
Jak and Daxter: The Precursor Legacy,90,35,8.7,312,3.64
Pro Evolution Soccer 2008,82,10,7.9,38,3.63
Resident Evil 4,96,38,8.9,1013,3.62
Guitar Hero: World Tour,86,18,7.6,71,3.62
FIFA Soccer 10,91,56,7.6,203,3.62
Star Wars: Battlefront,82,36,8.7,142,3.61
The Simpsons: Road Rage,64,23,7.7,32,3.61
Luigi's Mansion,78,34,8.5,161,3.6
Battlefield 4,85,18,6.9,1580,3.59
Star Wars: Battlefront II,84,30,9,268,3.59
Cooking Mama 2: Dinner With Friends,70,39,8,9,3.58
Grand Theft Auto: Liberty City Stories,78,49,7.8,112,3.54
The Getaway,72,49,6.8,88,3.54
James Bond 007: Agent Under Fire,72,27,7.9,48,3.53
FIFA Soccer 11,88,66,7.5,155,3.52
Left 4 Dead,89,67,7.9,1309,3.51
Assassin's Creed: Unity,72,59,4.1,1005,3.5
Resident Evil 5,83,91,7.5,523,3.5
