82,43,8.5,101,3.12
83,48,9,63,3.11
82,57,7.8,492,3.11
81,12,7.8,10,3.11
93,45,8,604,3.1
91,81,8.9,1057,3.1
74,34,5.4,1304,3.1
96,98,8.9,3143,3.1
67,28,7.9,71,3.09
94,23,7.9,46,3.08
75,18,7.8,22,3.07
74,17,7.9,22,3.06
66,60,6.9,106,3.05
70,74,3.9,2057,3.05
89,59,8.2,892,3.05
72,16,8,16,3.05
75,42,7.4,32,3.04
93,74,5.8,3725,3.04
87,107,7.7,2759,3.03
81,75,8.1,307,3.03
93,46,8.5,121,3.02
87,26,6.3,616,3.01
91,94,8.1,1505,3.01
91,39,8.6,1247,3
73,78,7,131,3
88,41,7.2,131,3
73,24,9.2,173,3
82,23,6.6,20,2.99
93,24,9.1,65,2.99
94,37,8.5,466,2.99
85,73,5.9,2748,2.96
84,85,8.1,1886,2.96
64,29,7.8,94,2.96
85,19,7.8,78,2.96
86,68,6.4,2658,2.95
88,59,8.5,572,2.95
87,42,9,93,2.94
79,13,7.8,4,2.94
93,77,7.3,292,2.94
85,98,8.3,1172,2.93
76,40,8.8,76,2.92
78,7,4.3,700,2.92
91,74,8.7,1692,2.91
73,21,8.6,30,2.9
93,28,9,45,2.9
67,45,6.8,18,2.89
85,30,8.9,16,2.89
61,37,5.3,23,2.89
76,49,7.7,69,2.89
83,61,7.4,179,2.89
81,36,5.8,179,2.86
87,34,8.7,111,2.86
83,29,7.8,1530,2.85
84,60,8.4,494,2.84
85,58,6.1,90,2.83
96,88,8.9,2249,2.83
97,70,9.3,747,2.82
90,59,8.2,791,2.82
75,56,7.5,286,2.81
80,90,7.9,2944,2.79
89,22,8.6,39,2.79
87,47,8.2,241,2.78
89,59,7.2,301,2.78
81,11,5.6,31,2.78
89,61,7.5,4926,2.78
83,81,7.7,836,2.78
83,33,7.7,46,2.77
84,85,7.9,942,2.77
73,74,6.7,389,2.77
81,42,7.4,67,2.76
84,70,7.6,490,2.76
79,63,7.4,211,2.75
69,44,6.6,174,2.73
95,30,9.1,314,2.7
86,23,8.2,56,2.7
89,83,7.8,893,2.7
82,71,6.5,233,2.7
78,55,5.9,94,2.69
84,32,9,41,2.69
73,88,6.8,2102,2.69
84,47,5.7,120,2.69
93,52,9.1,271,2.68
79,51,7.7,18,2.67
83,58,8.7,52,2.67
77,39,8.2,69,2.67
92,17,8.6,80,2.67
85,87,8.5,268,2.66
85,67,6.3,171,2.66
84,50,5.5,201,2.65
89,24,7.7,102,2.65
84,55,6.9,113,2.65
71,24,7.9,47,2.65
79,53,6.6,707,2.63
78,18,7.8,21,2.63
80,65,8,127,2.63
90,37,8.2,84,2.62
82,92,7.2,454,2.62
90,42,7.7,134,2.62
90,63,7.5,133,2.62
74,71,6.7,288,2.61
71,16,7.6,49,2.61
91,50,8.7,529,2.6
84,21,8.1,44,2.59
79,47,8,124,2.58
87,42,7.5,108,2.58
73,4,7.7,7,2.58
80,27,8.6,57,2.58
80,24,7.4,114,2.57
78,11,7.8,17,2.57
72,38,8.7,83,2.57
73,28,8.3,179,2.56
83,22,5.5,101,2.56
86,68,7.9,725,2.56
73,37,8,89,2.54
87,68,7.8,98,2.54
83,50,7,125,2.53
80,15,7.9,46,2.52
75,15,8,5,2.52
87,23,4.9,150,2.52
78,8,7,20,2.52
50,23,5.4,16,2.5
82,68,7.5,120,2.5
79,31,8.8,96,2.49
25,8,4.3,26,2.48
92,100,8.6,6383,2.48
70,26,7.4,74,2.47
85,55,7.7,83,2.47
92,72,8.2,178,2.47
90,26,8,99,2.47
82,50,7.7,384,2.47
87,79,6.1,1889,2.46
83,50,7,291,2.45
83,12,8.2,190,2.45
82,50,8.2,100,2.45
81,26,8.4,42,2.43
79,13,8,34,2.43
78,17,3.1,290,2.42
84,23,6.1,124,2.42
82,66,7.8,176,2.42
73,14,7.9,39,2.42
66,28,8.2,92,2.41
77,40,6.8,85,2.41
82,16,8.4,53,2.41
62,11,6.2,34,2.41
82,73,8.1,487,2.4
91,65,8.7,173,2.38
83,36,6.1,68,2.38
71,75,6.9,627,2.37
96,81,9.1,8665,2.37
62,36,7.6,22,2.37
85,46,6.4,108,2.37
83,59,8.8,55,2.37
42,10,5.5,16,2.37
85,41,6.8,58,2.37
81,66,8.5,142,2.35
73,33,2.9,67,2.35
71,11,7.2,31,2.34
89,82,9,478,2.34
78,22,6.6,28,2.34
84,21,8.4,189,2.34
86,14,6.2,115,2.34
66,46,6.5,39,2.34
84,42,9.1,51,2.31
86,14,8.5,28,2.31
90,69,7.9,2954,2.31
75,69,5.6,382,2.3
76,46,7.7,668,2.29
80,18,6.7,87,2.29
77,35,8.7,27,2.28
78,42,6.7,76,2.28
82,8,6.9,20,2.28
72,7,7.2,6,2.28
76,42,7.1,71,2.28
68,24,8.2,27,2.28
71,41,6.6,405,2.27
81,24,8.9,54,2.27
88,17,8.9,42,2.26
80,35,8.6,43,2.26
76,91,6.3,635,2.26
87,37,8.2,440,2.25
84,31,9,52,2.25
87,55,9.4,306,2.25
79,31,5.5,56,2.25
80,89,7.5,914,2.25
83,45,7.8,52,2.24
87,22,8.1,48,2.24
74,53,5.7,72,2.24
69,42,6.7,61,2.24
77,59,7.9,288,2.24
74,16,8,13,2.23
79,61,8,139,2.23
80,32,5.6,136,2.23
91,25,8.2,858,2.23
92,44,8.8,204,2.22
84,70,8.6,219,2.22
80,37,7.6,127,2.22
73,40,7.3,480,2.21
71,47,6.6,233,2.21
92,55,8.1,220,2.2
79,76,5.9,1095,2.2
92,69,8.3,156,2.2
88,73,7,206,2.2
80,15,7.9,16,2.2
88,93,8.2,573,2.2
94,72,9.2,317,2.19
81,37,6.1,208,2.19
80,41,6.6,132,2.19
81,74,7.5,211,2.18
82,26,8.9,28,2.18
82,33,5.4,347,2.18
80,33,6.9,614,2.16
82,54,6.3,539,2.16
74,17,7.9,30,2.16
79,72,7.6,110,2.16
66,30,7.3,136,2.16
69,21,7.6,50,2.15
90,31,6.1,1358,2.14
83,30,7.5,511,2.14
64,45,7.5,30,2.13
77,26,9,20,2.13
87,44,7.8,212,2.13
62,5,5.2,54,2.12
85,35,8.2,28,2.12
90,38,6.7,127,2.11
89,31,8.5,92,2.11
78,24,9.3,201,2.11
84,26,4.9,142,2.11
81,17,8.9,89,2.1
84,56,8.7,44,2.1
73,46,5,845,2.1
86,66,8.3,382,2.1
83,58,7.9,427,2.09
84,60,9,212,2.09
89,50,8.1,100,2.09
74,58,7.9,1287,2.09
85,82,7.6,520,2.08
90,53,5.6,953,2.08
44,7,6.2,11,2.08
77,45,7.1,136,2.08
69,33,8.2,57,2.08
80,21,6.3,37,2.08
95,66,8.5,997,2.08
64,54,7.1,34,2.08
72,21,7.8,54,2.07
49,5,5.2,24,2.07
73,16,7.1,27,2.07
71,85,6.1,1571,2.07
83,68,7.9,51,2.06
89,66,8.9,443,2.06
88,18,9.2,21,2.06
82,62,8.6,208,2.06
92,41,8.8,120,2.06
72,42,7.1,78,2.05
75,26,8.8,41,2.05
59,40,5.9,71,2.05
72,38,9,34,2.04
82,41,8.2,68,2.04
73,26,6,43,2.04
78,26,8.9,53,2.04
86,56,8.2,63,2.04
48,11,3.3,4,2.03
86,19,7.7,41,2.03
89,65,8.1,307,2.03
73,24,7.7,29,2.03
62,34,8.1,97,2.02
89,54,8.7,1397,2.02
70,34,7.7,17,2.02
81,5,6.6,480,2.02
92,72,9.1,1130,2.01
64,48,6.4,182,2.01
89,43,7.4,1984,2.01
88,67,8.8,545,2
76,44,7.1,107,2
71,19,5.7,9,2
87,14,8.8,45,1.99
76,11,7.9,14,1.99
75,53,7.8,162,1.98
80,46,7.6,82,1.98
80,53,6.2,667,1.98
56,20,4.1,95,1.97
68,40,6.6,167,1.97
81,57,8.7,34,1.96
85,83,8.4,431,1.96
88,69,8.3,225,1.95
69,24,7.7,59,1.95
67,71,5,1407,1.95
93,58,8.6,118,1.95
